variable,value,count
candidate,"""Greg"" Ellison",587
candidate,"""Gus"" Rantz",587
candidate,"""Mike"" Johnson",780
candidate,"""Rick"" John",780
candidate,A. Donald McEachin,276
candidate,"ACCAVITTI, JR., FRANK",362
candidate,ADAM KINZINGER,657
candidate,AL McAFFREY,822
candidate,ALEX X. MOONEY,552
candidate,AMAGON ALDERMAN POSITION 2-THEA ES,80
candidate,AMAGON ALDERMAN POSITION 3-LINDA E,80
candidate,AMAGON ALDERMAN POSITION 4-GLEN CA,80
candidate,AMAGON ALDERMAN POSITION 5-JIM ESK,80
candidate,AMANDA HOWLAND,617
candidate,"AMASH, JUSTIN",311
candidate,ANGELA PENDLEY,776
candidate,"AR CO Assessor, Regina Mannis, Rep",120
candidate,"AR CO Clerk, Melissa Wood, Democra",120
candidate,"AR CO Judge, Thomas E. Best, Democ",120
candidate,"AR CO Sheriff/Collector, Todd Wrig",120
candidate,"AR CO Treasurer, Charles A. Horton",120
candidate,"ARNOLD, JOSHUA",319
candidate,ART HALVORSON,540
candidate,ASSESSOR,276
candidate,"ASSESSOR KAREN HARDESTY - REP,",92
candidate,AUGUST (O'NEILL) DEUSER,603
candidate,AUSTIN SCOTT,852
candidate,Aaron Sperry,138
candidate,Absentee/Military,5457
candidate,Adam B. Schiff,733
candidate,Adam Smith,15
candidate,Adrian M. Montague,247
candidate,Adrian Smith,890
candidate,Adriano Espaillat,495
candidate,Adrienne Nicole Edwards,478
candidate,Affidavit,5456
candidate,Al Lawson,269
candidate,Alabama Democratic Party,2161
candidate,Alabama Republican Party,2161
candidate,Alan Bellone,489
candidate,Alan Bohms,217
candidate,Alan Lowenthal,793
candidate,Albert Travison,383
candidate,Alcee L. Hastings,276
candidate,Alejandro Vega,456
candidate,Alex Doyle,42
candidate,Alina Valdes,181
candidate,All Others,2174
candidate,Allan Romaguera,924
candidate,"Allen, Miranda",387
candidate,Alma Adams,614
candidate,Amber Thomsen,4
candidate,Ami Bera,629
candidate,"Amodei, Mark E.",728
candidate,Andrea Leigh McGee,271
candidate,Andrew Jarvi,8887
candidate,Andrew Rule,170
candidate,Andy BARR,623
candidate,Andy Barr,39
candidate,Andy Craig,366
candidate,Andy Millard,950
candidate,Andy Whallon,793
candidate,Angel Cadena,180
candidate,Angel Cardenas,822
candidate,Angie Craig,292
candidate,Ann McLane Kuster,187
candidate,Ann Wagner,449
candidate,Ann Wofford,225
candidate,Ann-Marie Adams,139
candidate,Anna G. Eshoo,1099
candidate,Anna Grace Raduc,222
candidate,Anna Throne-Hols,1419
candidate,Anonymous,46
candidate,Anthony Tomkins,501
candidate,Antonio C. Amador,906
candidate,April Freeman,234
candidate,Arik Bjorn,323
candidate,Arrington,388
candidate,Art Robinson,285
candidate,Ashby,231
candidate,Assessor Sandra Cawyer,42
candidate,B Clark,42
candidate,B. Mark Walker,719
candidate,"BAGWELL, TOM",306
candidate,BALD KNOB ALDERMAN W-2 PO.1,276
candidate,BALD KNOB ALDERMAN W-3 PO. 1,276
candidate,BALD KNOB ALDERMAN W-3 PO. 2,276
candidate,BARBARA JEAN COMSTOCK,216
candidate,BARREN TOWNSHIP CONSTABLE-CHRYSTAL,80
candidate,BARRY LOUDERMILK,592
candidate,BEEBE ALDERMAN W-1 PO. 1,276
candidate,BEEBE ALDERMAN W-1 PO. 2,276
candidate,BEEBE ALDERMAN W-2 PO. 1,276
candidate,BEEBE ALDERMAN W-3 PO. 1,276
candidate,BEEBE ALDERMAN W-3 PO. 2,276
candidate,BEEDEVILLE ALDERMAN POSITION 1-WIL,80
candidate,BEEDEVILLE ALDERMAN POSITION 2-DAN,80
candidate,BEEDEVILLE ALDERMAN POSITION 3-JIM,80
candidate,BEEDEVILLE ALDERMAN POSITION 5-ROB,80
candidate,BEEDEVILLE CITY CLERK-POLLY ADAMS,80
candidate,BEN R LUJAN,524
candidate,"BENTIVOLIO, KERRY",298
candidate,"BERGMAN, JACK",501
candidate,BILL FOSTER,446
candidate,BIRD TOWNSHIP CONSTABLE-CARL SCHLO,80
candidate,"BISHOP, MIKE",304
candidate,"BOAL, ELLIS",501
candidate,BOBBY L. RUSH,608
candidate,"BOSTOW, DIANE",501
candidate,BOUCHARD -,5
candidate,BRAD SCHNEIDER,411
candidate,BRADFORD ALDERMAN W-1 PO. 1,276
candidate,BRADFORD ALDERMAN W-2 PO. 1,276
candidate,BRADFORD ALDERMAN W-2 PO. 2,276
candidate,BRADFORD ALDERMAN W-3 PO. 1,276
candidate,BRADFORD RECORDER/TREASURER,276
candidate,"BRADY, MATTHEW A.",319
candidate,BRENDAN F BOYLE,572
candidate,BRIAN K FITZPATRICK,342
candidate,"BURGESS, JEREMY",304
candidate,"BUTKOVICH, KEITH",385
candidate,Babin,264
candidate,"Bakari, Kamau A.",302
candidate,"Bakken, Gorden J.",387
candidate,"Bales, James Houston",823
candidate,Ballard,136
candidate,Bao Nguyen,468
candidate,Barbara Lee,1007
candidate,Barrera,316
candidate,Bartley,246
candidate,Barton,259
candidate,Bell,186
candidate,Ben Affleck,1
candidate,Benjamin T. Brixey,287
candidate,Bernice Johnson,273
candidate,Bernie Sanders,88
candidate,Betty McCollum,229
candidate,Beverly A. Goldstein,8887
candidate,Bill Johnson,8887
candidate,Bill Otto,449
candidate,Bill Posey,213
candidate,Bill Stinson,213
candidate,Billy Burkette,872
candidate,Billy Long,292
candidate,Blaine Luetkemeyer,334
candidate,Blair,186
candidate,Blunt,257
candidate,Bob Gibbs,8887
candidate,Bob Latta,8887
candidate,Bob Seay,490
candidate,Bobby Massarini,46
candidate,Boler,170
candidate,Bonar,388
candidate,Bouchard,4
candidate,"Bouchard, James",7
candidate,"Bouchard, James J.",120
candidate,Brad Ashford,286
candidate,Brad Sherman,714
candidate,Brad Wenstrup,8887
candidate,Bradley Byrne,333
candidate,Bradshaw,271
candidate,Brady Pinero Walkinshaw,59
candidate,Brendan Kelly,114
candidate,Brett Geymann,587
candidate,Brett Murdock,772
candidate,Brian Higgins,2070
candidate,Brian J Heinrich,242
candidate,Brian Mast,295
candidate,Britani Potter,215
candidate,"Brown, Steve",428
candidate,Bruce Davis,912
candidate,Bruce Griffith,490
candidate,Bruce Ray Riggs,208
candidate,Bruce Westerman,3490
candidate,Brutus Patterson,46
candidate,Bryan,161
candidate,Bryan Barrilleaux,587
candidate,Bryan Caforio,770
