variable,value,count
candidate,"""Joseph"" Cao",4032
candidate,"""Rob"" Maness",4032
candidate,ALLEN BUCKLEY,10772
candidate,"ALLISON, Joy J.",741
candidate,AMAGON ALDERMAN POSITION 2-THEA ES,80
candidate,AMAGON ALDERMAN POSITION 3-LINDA E,80
candidate,AMAGON ALDERMAN POSITION 4-GLEN CA,80
candidate,AMAGON ALDERMAN POSITION 5-JIM ESK,80
candidate,"AR CO Assessor, Regina Mannis, Rep",120
candidate,"AR CO Clerk, Melissa Wood, Democra",120
candidate,"AR CO Judge, Thomas E. Best, Democ",120
candidate,"AR CO Sheriff/Collector, Todd Wrig",120
candidate,"AR CO Treasurer, Charles A. Horton",120
candidate,ASSESSOR,276
candidate,"ASSESSOR KAREN HARDESTY - REP,",92
candidate,Abhay Patel,4032
candidate,Absentee/Military,5457
candidate,Affidavit,5456
candidate,Alabama Democratic Party,2161
candidate,Alabama Republican Party,2161
candidate,Alex Merced,15486
candidate,Andrew Rule,689
candidate,Anonymous,46
candidate,Arden Wells,4032
candidate,Arn Menconi,3010
candidate,Assessor Sandra Cawyer,42
candidate,BALD KNOB ALDERMAN W-2 PO.1,276
candidate,BALD KNOB ALDERMAN W-3 PO. 1,276
candidate,BALD KNOB ALDERMAN W-3 PO. 2,276
candidate,BARREN TOWNSHIP CONSTABLE-CHRYSTAL,80
candidate,BEEBE ALDERMAN W-1 PO. 1,276
candidate,BEEBE ALDERMAN W-1 PO. 2,276
candidate,BEEBE ALDERMAN W-2 PO. 1,276
candidate,BEEBE ALDERMAN W-3 PO. 1,276
candidate,BEEBE ALDERMAN W-3 PO. 2,276
candidate,BEEDEVILLE ALDERMAN POSITION 1-WIL,80
candidate,BEEDEVILLE ALDERMAN POSITION 2-DAN,80
candidate,BEEDEVILLE ALDERMAN POSITION 3-JIM,80
candidate,BEEDEVILLE ALDERMAN POSITION 5-ROB,80
candidate,BEEDEVILLE CITY CLERK-POLLY ADAMS,80
candidate,BIRD TOWNSHIP CONSTABLE-CARL SCHLO,80
candidate,BRADFORD ALDERMAN W-1 PO. 1,276
candidate,BRADFORD ALDERMAN W-2 PO. 1,276
candidate,BRADFORD ALDERMAN W-2 PO. 2,276
candidate,BRADFORD ALDERMAN W-3 PO. 1,276
candidate,BRADFORD RECORDER/TREASURER,276
candidate,Basil E. Dalack,5521
candidate,Bernie Sanders,42
candidate,Beryl Billiot,4032
candidate,Bill Barron,2230
candidate,Bill Bledsoe,2550
candidate,Bill Hammons,3010
candidate,Billy Ray WILSON (W),1
candidate,Bruce Nathan,5698
candidate,Bvs,837
candidate,CAMPBELL STATION ALDERMAN POSITION,80
candidate,CAMPBELL STATION ALDERMAN POSITION__1,80
candidate,CAMPBELL STATION ALDERMAN POSITION__2,80
candidate,CAMPBELL STATION ALDERMAN POSITION__3,80
candidate,CAMPBELL STATION ALDERMAN POSTION,80
candidate,CAMPBELL STATION CITY CLERK-SARAH,80
candidate,"CARROLL, John",741
candidate,CARROLL-BOONE WATER BOARD MARK BIL,92
candidate,COLLECTOR,276
candidate,"COLLECTOR AMY L. JENKINS - REP,",92
candidate,CONSTABLE BIG CREEK TWP,276
candidate,"CONSTABLE CITY KEN KELLY - REP,",92
candidate,CONSTABLE CYPERT WP,276
candidate,CONSTABLE GRAY TWP,276
candidate,CONSTABLE GUM SPRINGS TWP,276
candidate,CONSTABLE HALE TOWNSHIP CONSTABLE,224
candidate,CONSTABLE HARRISON TWP,276
candidate,CONSTABLE HOT SPRINGS TOWNSHIP CON,224
candidate,CONSTABLE LAKE HAMILTON TOWNSHIP C,224
candidate,CONSTABLE LIBERTY TWP,276
candidate,CONSTABLE NORTH JOSEPH JENKINS - R,92
candidate,"CONSTABLE SOUTH GEORGE ""JAY"" WHITE",92
candidate,CONSTABLE UNION TWP,276
candidate,CONSTABLE WHITTINGTON TOWNSHIP CON,224
candidate,CORONER,276
candidate,"CORONER WAYNE S. CONE - DEM,",92
candidate,"CORTEZ MASTO, CATHERINE",1858
candidate,COUNTY CLERK,276
candidate,COUNTY CLERK COUNTY CLERK CRYSTAL,92
candidate,COUNTY JUDGE,276
candidate,"COUNTY JUDGE ROBERT HATHAWAY- REP,",92
candidate,COUNTY SHERIFF SHERIFF MIKE MOORE,92
candidate,Caroline Fayard,4032
candidate,Charles Aldrich,3360
candidate,Charles Boustany,4032
candidate,Charles E. Grassley,3360
candidate,Charles Marsala,4032
candidate,Charles Schumer,61729
candidate,Chris Vance,4610
candidate,City of Emerson Alderman-Position,42
candidate,City of Emerson Alderman-Position__1,42
candidate,City of Emerson Alderman-Position__2,42
candidate,City of Magnolia Alderman W1 P1 Ke,42
candidate,City of Magnolia Alderman W3 P1 Ja,42
candidate,City of Magnolia Alderman W4 P1 Je,42
candidate,City of McNeil Alderman Position 1,42
candidate,City of McNeil Alderman Position 2,42
candidate,City of McNeil Alderman Position 3,42
candidate,City of McNeil Alderman Position 4,42
candidate,City of McNeil Alderman Position 5,42
candidate,City of Taylor Alderman Ward 1 Pos,42
candidate,City of Taylor Alderman Ward 1 Pos__1,42
candidate,City of Taylor Alderman Ward 2 Pos,42
candidate,City of Taylor Alderman Ward 2 Pos__1,42
candidate,City of Taylor Alderman Ward 3 Pos,42
candidate,City of Taylor Alderman Ward 3 Pos__1,42
candidate,City of Taylor Recorder / Treasure,42
candidate,City of Waldo Alderman Ward 1 Posi,42
candidate,City of Waldo Alderman Ward 2 Posi,42
candidate,City of Waldo Recorder / Treasurer,42
candidate,Conner Eldridge,10541
candidate,Constable 1 - Columbia North Burni,42
candidate,Constable 3 - Magnolia City Daniel,42
candidate,Constable 4 - McNeil John Ferguson,42
candidate,Constable 6 - Emerson Kenneth Dail,42
candidate,"Constable Arkansas Township, Dwayn",120
candidate,Constable District 5 - Waldo Truma,42
candidate,"Constable GumPond Township, Ricky",120
candidate,Constable Pos 1 Paul Teel,444
candidate,Constable Pos 2 Cleason H. Cotton,444
candidate,Constable Pos 3 Arnold Martin,444
candidate,Constable Pos 4 William Justin Hayes,444
candidate,"Constable Prairie Township, Jamie",120
candidate,Constable Upper Twnsp Paul Foley,444
candidate,County Assessor Zach Johnson,444
candidate,County Clerk Sharon Brooks,444
candidate,County Clerk Sherry L. Bell,42
candidate,County Coroner Kenny Hobbs,444
candidate,County Coroner Randy Reed,42
candidate,County Judge County Judge Larry At,42
candidate,County Judge David Hudson,444
candidate,County Sheriff Bill Hollenbeck,444
candidate,County Sheriff Sheriff Mike Loe,42
candidate,County Treas/Collector Judith Miller,444
candidate,County Treasurer Selena Renee Belt,42
candidate,"Craig, Breck A.",563
candidate,Cris Ericson,275
candidate,"DIAZ ALDERMAN WARD 1, POSITION 1-A",80
candidate,"DIAZ ALDERMAN WARD 1, POSITION 2-J",80
candidate,"DIAZ ALDERMAN WARD 2, POSITION 1-B",80
candidate,"DIAZ ALDERMAN WARD 2, POSITION 2-D",80
candidate,"DIAZ ALDERMAN WARD 3, POSITION 1-B",80
candidate,"DIAZ ALDERMAN WARD 3, POSITION 2-I",80
candidate,DIAZ CITY CLERK-KATHY HOWARD (IND),80
candidate,Dan Carter,744
candidate,Dan Chapin,3010
candidate,Darryl Glenn,3011
candidate,David Duke,4032
candidate,"DeWitt Ald. W1 P2, Debbie Fox, Ind",120
candidate,"DeWitt Ald. W2 P1, James Vernor, I",120
candidate,"DeWitt Ald. W3 P1, Robert Young, I",120
candidate,"DeWitt Ald. W3 P2, Dallas Traylor,",120
candidate,Deborah K. Ross,12152
candidate,Democrat,174
candidate,Derrick Edwards,4032
candidate,Don Willoughby,3010
candidate,"Donald ""Crawdaddy"" Crawford",4032
candidate,EDWARD T CLIFFORD,9176
candidate,Eliot Glassheim,432
candidate,Emerson City Recorder/Treasurer Li,42
candidate,Eric Navickas,1343
candidate,FOR,3712
candidate,FOR ALL,1776
candidate,FOR ALL THE UNOPPOSED CANDIDATES.,100
candidate,FOR ALL UNOPPOSED,68
candidate,FOR UNOPPOSED,224
candidate,FOR Unopposed Candidates,85
candidate,FOUNTAIN LAKE ALDERMAN POSITION 1,224
candidate,FOUNTAIN LAKE ALDERMAN POSITION 3,224
candidate,FOUNTAIN LAKE ALDERMAN POSITION 4,224
candidate,FOUNTAIN LAKE ALDERMAN POSITION 5,224
candidate,Federal,5456
candidate,For,1242
candidate,Foster Campbell,4032
candidate,Frank Gilbert,10496
candidate,Fred Ryman,3126
candidate,GARLAND COUNTY ASSESSOR ASSESSOR S,224
candidate,GARLAND COUNTY CLERK COUNTY CLERK,224
candidate,GARLAND COUNTY CORONER CORONER STU,224
candidate,GARLAND COUNTY SHERIFF SHERIFF MIC,224
